Drop Information	Freeze Temperature	Diameter (microns)
E:\Box Sync\LabBox\Naama Reicher\WISDOM Measurements_Naama\20160121\Kaolinite INUIT IN study -21_01_2016-12_36_07.avi	-36.55	34.56
E:\Box Sync\LabBox\Naama Reicher\WISDOM Measurements_Naama\20160121\Kaolinite INUIT IN study -21_01_2016-12_36_07.avi	-36.55	36.83
E:\Box Sync\LabBox\Naama Reicher\WISDOM Measurements_Naama\20160121\Kaolinite INUIT IN study -21_01_2016-12_36_07.avi	-36.55	36.85
E:\Box Sync\LabBox\Naama Reicher\WISDOM Measurements_Naama\20160121\Kaolinite INUIT IN study -21_01_2016-12_36_07.avi	-36.55	37.07
E:\Box Sync\LabBox\Naama Reicher\WISDOM Measurements_Naama\20160121\Kaolinite INUIT IN study -21_01_2016-12_36_07.avi	-36.55	37.26
E:\Box Sync\LabBox\Naama Reicher\WISDOM Measurements_Naama\20160121\Kaolinite INUIT IN study -21_01_2016-12_36_07.avi	-36.55	40.07
E:\Box Sync\LabBox\Naama Reicher\WISDOM Measurements_Naama\20160121\Kaolinite INUIT IN study -21_01_2016-10_32_48.avi	-36.53	41.25
E:\Box Sync\LabBox\Naama Reicher\WISDOM Measurements_Naama\20160121\Kaolinite INUIT IN study -21_01_2016-10_32_48.avi	-36.53	43.18
E:\Box Sync\LabBox\Naama Reicher\WISDOM Measurements_Naama\20160121\Kaolinite INUIT IN study -21_01_2016-10_32_48.avi	-36.53	44.59
E:\Box Sync\LabBox\Naama Reicher\WISDOM Measurements_Naama\20160121\Kaolinite INUIT IN study -21_01_2016-12_36_07.avi	-36.53	33.59
E:\Box Sync\LabBox\Naama Reicher\WISDOM Measurements_Naama\20160121\Kaolinite INUIT IN study -21_01_2016-12_36_07.avi	-36.53	37.14
E:\Box Sync\LabBox\Naama Reicher\WISDOM Measurements_Naama\20160121\Kaolinite INUIT IN study -21_01_2016-12_36_07.avi	-36.53	38.94
E:\Box Sync\LabBox\Naama Reicher\WISDOM Measurements_Naama\20160121\Kaolinite INUIT IN study -21_01_2016-12_36_07.avi	-36.53	41.73
E:\Box Sync\LabBox\Naama Reicher\WISDOM Measurements_Naama\20160121\Kaolinite INUIT IN study -21_01_2016-10_32_48.avi	-36.52	41.32
E:\Box Sync\LabBox\Naama Reicher\WISDOM Measurements_Naama\20160121\Kaolinite INUIT IN study -21_01_2016-12_36_07.avi	-36.52	39.22
E:\Box Sync\LabBox\Naama Reicher\WISDOM Measurements_Naama\20160121\Kaolinite INUIT IN study -21_01_2016-12_36_07.avi	-36.52	39.69
E:\Box Sync\LabBox\Naama Reicher\WISDOM Measurements_Naama\20160121\Kaolinite INUIT IN study -21_01_2016-12_36_07.avi	-36.52	41.49
E:\Box Sync\LabBox\Naama Reicher\WISDOM Measurements_Naama\20160121\Kaolinite INUIT IN study -21_01_2016-10_32_48.avi	-36.50	40.47
E:\Box Sync\LabBox\Naama Reicher\WISDOM Measurements_Naama\20160121\Kaolinite INUIT IN study -21_01_2016-10_32_48.avi	-36.50	40.89
E:\Box Sync\LabBox\Naama Reicher\WISDOM Measurements_Naama\20160121\Kaolinite INUIT IN study -21_01_2016-10_32_48.avi	-36.50	41.29
E:\Box Sync\LabBox\Naama Reicher\WISDOM Measurements_Naama\20160121\Kaolinite INUIT IN study -21_01_2016-10_32_48.avi	-36.50	41.30
E:\Box Sync\LabBox\Naama Reicher\WISDOM Measurements_Naama\20160121\Kaolinite INUIT IN study -21_01_2016-10_32_48.avi	-36.50	44.06
E:\Box Sync\LabBox\Naama Reicher\WISDOM Measurements_Naama\20160121\Kaolinite INUIT IN study -21_01_2016-11_15_28.avi	-36.50	36.75
E:\Box Sync\LabBox\Naama Reicher\WISDOM Measurements_Naama\20160121\Kaolinite INUIT IN study -21_01_2016-11_15_28.avi	-36.50	39.60
E:\Box Sync\LabBox\Naama Reicher\WISDOM Measurements_Naama\20160121\Kaolinite INUIT IN study -21_01_2016-11_15_28.avi	-36.50	42.20
E:\Box Sync\LabBox\Naama Reicher\WISDOM Measurements_Naama\20160121\Kaolinite INUIT IN study -21_01_2016-11_15_28.avi	-36.50	42.63
E:\Box Sync\LabBox\Naama Reicher\WISDOM Measurements_Naama\20160121\Kaolinite INUIT IN study -21_01_2016-12_36_07.avi	-36.50	36.71
E:\Box Sync\LabBox\Naama Reicher\WISDOM Measurements_Naama\20160121\Kaolinite INUIT IN study -21_01_2016-12_36_07.avi	-36.50	38.71
E:\Box Sync\LabBox\Naama Reicher\WISDOM Measurements_Naama\20160121\Kaolinite INUIT IN study -21_01_2016-12_36_07.avi	-36.50	39.50
E:\Box Sync\LabBox\Naama Reicher\WISDOM Measurements_Naama\20160121\Kaolinite INUIT IN study -21_01_2016-12_36_07.avi	-36.50	39.98
E:\Box Sync\LabBox\Naama Reicher\WISDOM Measurements_Naama\20160121\Kaolinite INUIT IN study -21_01_2016-12_36_07.avi	-36.50	40.08
E:\Box Sync\LabBox\Naama Reicher\WISDOM Measurements_Naama\20160121\Kaolinite INUIT IN study -21_01_2016-13_20_21.avi	-36.50	36.34
E:\Box Sync\LabBox\Naama Reicher\WISDOM Measurements_Naama\20160121\Kaolinite INUIT IN study -21_01_2016-13_20_21.avi	-36.50	39.63
E:\Box Sync\LabBox\Naama Reicher\WISDOM Measurements_Naama\20160121\Kaolinite INUIT IN study -21_01_2016-10_32_48.avi	-36.48	39.55
