Drop Information	Freeze Temperature	Diameter (microns)
E:\Box Sync\LabBox\Naama Reicher\WISDOM Measurements_Naama\20151214\IN study with the NCC 0.0840g in 1ml water-14_12_2015-14_17_07.avi	-29.37	43.58
E:\Box Sync\LabBox\Naama Reicher\WISDOM Measurements_Naama\20151214\IN study with the NCC 0.0840g in 1ml water-14_12_2015-12_25_04.avi	-29.30	27.24
E:\Box Sync\LabBox\Naama Reicher\WISDOM Measurements_Naama\20151214\IN study with the NCC 0.0840g in 1ml water-14_12_2015-12_25_04.avi	-29.30	29.96
E:\Box Sync\LabBox\Naama Reicher\WISDOM Measurements_Naama\20151214\IN study with the NCC 0.0840g in 1ml water-14_12_2015-13_21_45.avi	-29.30	35.41
E:\Box Sync\LabBox\Naama Reicher\WISDOM Measurements_Naama\20151214\IN study with the NCC 0.0840g in 1ml water-14_12_2015-16_04_17.avi	-29.30	36.22
E:\Box Sync\LabBox\Naama Reicher\WISDOM Measurements_Naama\20151214\IN study with the NCC 0.0840g in 1ml water-14_12_2015-16_04_17.avi	-29.30	38.57
E:\Box Sync\LabBox\Naama Reicher\WISDOM Measurements_Naama\20151214\IN study with the NCC 0.0840g in 1ml water-14_12_2015-12_25_04.avi	-29.20	35.41
E:\Box Sync\LabBox\Naama Reicher\WISDOM Measurements_Naama\20151214\IN study with the NCC 0.0840g in 1ml water-14_12_2015-13_21_45.avi	-29.20	30.06
E:\Box Sync\LabBox\Naama Reicher\WISDOM Measurements_Naama\20151214\IN study with the NCC 0.0840g in 1ml water-14_12_2015-12_25_04.avi	-29.12	32.69
E:\Box Sync\LabBox\Naama Reicher\WISDOM Measurements_Naama\20151214\IN study with the NCC 0.0840g in 1ml water-14_12_2015-13_21_45.avi	-29.10	21.79
E:\Box Sync\LabBox\Naama Reicher\WISDOM Measurements_Naama\20151214\IN study with the NCC 0.0840g in 1ml water-14_12_2015-16_04_17.avi	-29.10	40.72
E:\Box Sync\LabBox\Naama Reicher\WISDOM Measurements_Naama\20151214\IN study with the NCC 0.0840g in 1ml water-14_12_2015-14_17_07.avi	-29.08	39.17
E:\Box Sync\LabBox\Naama Reicher\WISDOM Measurements_Naama\20151214\IN study with the NCC 0.0840g in 1ml water-14_12_2015-14_17_07.avi	-29.05	35.76
E:\Box Sync\LabBox\Naama Reicher\WISDOM Measurements_Naama\20151214\IN study with the NCC 0.0840g in 1ml water-14_12_2015-14_17_07.avi	-29.05	36.97
