Drop Information	Freeze Temperature	Diameter (microns)
E:\Box Sync\LabBox\Naama Reicher\WISDOM Measurements_Naama\20160120\K-Feldspar INUIT IN study FA 04-20_01_2016-13_11_27.avi	-24.40	32.69
E:\Box Sync\LabBox\Naama Reicher\WISDOM Measurements_Naama\20160120\K-Feldspar INUIT IN study FA 04-20_01_2016-13_11_27.avi	-24.40	49.03
E:\Box Sync\LabBox\Naama Reicher\WISDOM Measurements_Naama\20160120\K-Feldspar INUIT IN study FA 04-20_01_2016-13_41_39.avi	-24.40	35.10
E:\Box Sync\LabBox\Naama Reicher\WISDOM Measurements_Naama\20160120\K-Feldspar INUIT IN study FA 04-20_01_2016-13_41_39.avi	-24.40	40.92
E:\Box Sync\LabBox\Naama Reicher\WISDOM Measurements_Naama\20160120\K-Feldspar INUIT IN study FA 04-20_01_2016-11_19_38.avi	-24.37	36.88
E:\Box Sync\LabBox\Naama Reicher\WISDOM Measurements_Naama\20160120\K-Feldspar INUIT IN study FA 04-20_01_2016-11_19_38.avi	-24.35	35.41
E:\Box Sync\LabBox\Naama Reicher\WISDOM Measurements_Naama\20160120\K-Feldspar INUIT IN study FA 04-20_01_2016-11_19_38.avi	-24.35	38.46
E:\Box Sync\LabBox\Naama Reicher\WISDOM Measurements_Naama\20160120\K-Feldspar INUIT IN study FA 04-20_01_2016-13_11_27.avi	-24.35	29.96
E:\Box Sync\LabBox\Naama Reicher\WISDOM Measurements_Naama\20160120\K-Feldspar INUIT IN study FA 04-20_01_2016-11_19_38.avi	-24.32	32.69
E:\Box Sync\LabBox\Naama Reicher\WISDOM Measurements_Naama\20160120\K-Feldspar INUIT IN study FA 04-20_01_2016-11_19_38.avi	-24.30	29.96
E:\Box Sync\LabBox\Naama Reicher\WISDOM Measurements_Naama\20160120\K-Feldspar INUIT IN study FA 04-20_01_2016-11_19_38.avi	-24.30	32.65
E:\Box Sync\LabBox\Naama Reicher\WISDOM Measurements_Naama\20160120\K-Feldspar INUIT IN study FA 04-20_01_2016-11_19_38.avi	-24.30	42.44
E:\Box Sync\LabBox\Naama Reicher\WISDOM Measurements_Naama\20160120\K-Feldspar INUIT IN study FA 04-20_01_2016-11_19_38.avi	-24.30	42.51
E:\Box Sync\LabBox\Naama Reicher\WISDOM Measurements_Naama\20160120\K-Feldspar INUIT IN study FA 04-20_01_2016-11_19_38.avi	-24.30	43.58
E:\Box Sync\LabBox\Naama Reicher\WISDOM Measurements_Naama\20160120\K-Feldspar INUIT IN study FA 04-20_01_2016-11_48_35.avi	-24.30	39.99
E:\Box Sync\LabBox\Naama Reicher\WISDOM Measurements_Naama\20160120\K-Feldspar INUIT IN study FA 04-20_01_2016-13_11_27.avi	-24.30	29.96
E:\Box Sync\LabBox\Naama Reicher\WISDOM Measurements_Naama\20160120\K-Feldspar INUIT IN study FA 04-20_01_2016-13_11_27.avi	-24.30	29.96
E:\Box Sync\LabBox\Naama Reicher\WISDOM Measurements_Naama\20160120\K-Feldspar INUIT IN study FA 04-20_01_2016-13_11_27.avi	-24.30	29.96
E:\Box Sync\LabBox\Naama Reicher\WISDOM Measurements_Naama\20160120\K-Feldspar INUIT IN study FA 04-20_01_2016-13_11_27.avi	-24.30	34.79
E:\Box Sync\LabBox\Naama Reicher\WISDOM Measurements_Naama\20160120\K-Feldspar INUIT IN study FA 04-20_01_2016-13_11_27.avi	-24.30	35.02
E:\Box Sync\LabBox\Naama Reicher\WISDOM Measurements_Naama\20160120\K-Feldspar INUIT IN study FA 04-20_01_2016-13_11_27.avi	-24.30	35.41
E:\Box Sync\LabBox\Naama Reicher\WISDOM Measurements_Naama\20160120\K-Feldspar INUIT IN study FA 04-20_01_2016-13_11_27.avi	-24.30	35.41
E:\Box Sync\LabBox\Naama Reicher\WISDOM Measurements_Naama\20160120\K-Feldspar INUIT IN study FA 04-20_01_2016-13_11_27.avi	-24.30	35.41
E:\Box Sync\LabBox\Naama Reicher\WISDOM Measurements_Naama\20160120\K-Feldspar INUIT IN study FA 04-20_01_2016-13_11_27.avi	-24.30	37.84
E:\Box Sync\LabBox\Naama Reicher\WISDOM Measurements_Naama\20160120\K-Feldspar INUIT IN study FA 04-20_01_2016-13_11_27.avi	-24.30	38.13
E:\Box Sync\LabBox\Naama Reicher\WISDOM Measurements_Naama\20160120\K-Feldspar INUIT IN study FA 04-20_01_2016-13_41_39.avi	-24.30	34.20
E:\Box Sync\LabBox\Naama Reicher\WISDOM Measurements_Naama\20160120\K-Feldspar INUIT IN study FA 04-20_01_2016-13_41_39.avi	-24.30	34.83
E:\Box Sync\LabBox\Naama Reicher\WISDOM Measurements_Naama\20160120\K-Feldspar INUIT IN study FA 04-20_01_2016-13_41_39.avi	-24.30	36.21
E:\Box Sync\LabBox\Naama Reicher\WISDOM Measurements_Naama\20160120\K-Feldspar INUIT IN study FA 04-20_01_2016-13_41_39.avi	-24.30	36.34
E:\Box Sync\LabBox\Naama Reicher\WISDOM Measurements_Naama\20160120\K-Feldspar INUIT IN study FA 04-20_01_2016-13_41_39.avi	-24.30	39.25
E:\Box Sync\LabBox\Naama Reicher\WISDOM Measurements_Naama\20160120\K-Feldspar INUIT IN study FA 04-20_01_2016-13_41_39.avi	-24.30	41.90
E:\Box Sync\LabBox\Naama Reicher\WISDOM Measurements_Naama\20160120\K-Feldspar INUIT IN study FA 04-20_01_2016-11_19_38.avi	-24.29	35.41
E:\Box Sync\LabBox\Naama Reicher\WISDOM Measurements_Naama\20160120\K-Feldspar INUIT IN study FA 04-20_01_2016-13_41_39.avi	-24.28	34.29
E:\Box Sync\LabBox\Naama Reicher\WISDOM Measurements_Naama\20160120\K-Feldspar INUIT IN study FA 04-20_01_2016-13_41_39.avi	-24.28	34.35
E:\Box Sync\LabBox\Naama Reicher\WISDOM Measurements_Naama\20160120\K-Feldspar INUIT IN study FA 04-20_01_2016-11_48_35.avi	-24.27	35.62
