Drop Information	Freeze Temperature	Diameter (microns)
E:\Box Sync\LabBox\Naama Reicher\WISDOM Measurements_Naama\20151220\IN study with the NCC 0.20g in 1ml water repeat-20_12_2015-10_41_51.avi	-30.92	32.69
E:\Box Sync\LabBox\Naama Reicher\WISDOM Measurements_Naama\20151213\IN study with the NCC 0.20g in 1ml water-13_12_2015-14_54_22.avi	-30.90	32.20
E:\Box Sync\LabBox\Naama Reicher\WISDOM Measurements_Naama\20151213\IN study with the NCC 0.20g in 1ml water-13_12_2015-17_16_09.avi	-30.90	38.13
E:\Box Sync\LabBox\Naama Reicher\WISDOM Measurements_Naama\20151213\IN study with the NCC 0.20g in 1ml water-13_12_2015-14_54_22.avi	-30.88	32.52
E:\Box Sync\LabBox\Naama Reicher\WISDOM Measurements_Naama\20151220\IN study with the NCC 0.20g in 1ml water repeat-20_12_2015-11_38_50.avi	-30.87	27.06
E:\Box Sync\LabBox\Naama Reicher\WISDOM Measurements_Naama\20151213\IN study with the NCC 0.20g in 1ml water-13_12_2015-17_16_09.avi	-30.87	32.69
E:\Box Sync\LabBox\Naama Reicher\WISDOM Measurements_Naama\20151213\IN study with the NCC 0.20g in 1ml water-13_12_2015-17_16_09.avi	-30.83	43.58
E:\Box Sync\LabBox\Naama Reicher\WISDOM Measurements_Naama\20151213\IN study with the NCC 0.20g in 1ml water-13_12_2015-14_54_22.avi	-30.82	33.67
E:\Box Sync\LabBox\Naama Reicher\WISDOM Measurements_Naama\20151213\IN study with the NCC 0.20g in 1ml water-13_12_2015-14_54_22.avi	-30.80	32.54
E:\Box Sync\LabBox\Naama Reicher\WISDOM Measurements_Naama\20151213\IN study with the NCC 0.20g in 1ml water-13_12_2015-14_54_22.avi	-30.77	30.98
E:\Box Sync\LabBox\Naama Reicher\WISDOM Measurements_Naama\20151213\IN study with the NCC 0.20g in 1ml water-13_12_2015-14_54_22.avi	-30.70	32.91
E:\Box Sync\LabBox\Naama Reicher\WISDOM Measurements_Naama\20151220\IN study with the NCC 0.20g in 1ml water repeat-20_12_2015-11_38_50.avi	-30.62	39.02
E:\Box Sync\LabBox\Naama Reicher\WISDOM Measurements_Naama\20151220\IN study with the NCC 0.20g in 1ml water repeat-20_12_2015-11_38_50.avi	-30.54	43.58
E:\Box Sync\LabBox\Naama Reicher\WISDOM Measurements_Naama\20151213\IN study with the NCC 0.20g in 1ml water-13_12_2015-14_54_22.avi	-30.50	30.98
E:\Box Sync\LabBox\Naama Reicher\WISDOM Measurements_Naama\20151220\IN study with the NCC 0.20g in 1ml water repeat-20_12_2015-11_38_50.avi	-30.39	29.96
E:\Box Sync\LabBox\Naama Reicher\WISDOM Measurements_Naama\20151213\IN study with the NCC 0.20g in 1ml water-13_12_2015-14_54_22.avi	-30.37	33.11
E:\Box Sync\LabBox\Naama Reicher\WISDOM Measurements_Naama\20151220\IN study with the NCC 0.20g in 1ml water repeat-20_12_2015-11_38_50.avi	-30.36	38.13
E:\Box Sync\LabBox\Naama Reicher\WISDOM Measurements_Naama\20151213\IN study with the NCC 0.20g in 1ml water-13_12_2015-14_54_22.avi	-30.35	30.98
E:\Box Sync\LabBox\Naama Reicher\WISDOM Measurements_Naama\20151213\IN study with the NCC 0.20g in 1ml water-13_12_2015-14_54_22.avi	-30.30	31.87
E:\Box Sync\LabBox\Naama Reicher\WISDOM Measurements_Naama\20151213\IN study with the NCC 0.20g in 1ml water-13_12_2015-14_54_22.avi	-30.20	31.73
E:\Box Sync\LabBox\Naama Reicher\WISDOM Measurements_Naama\20151213\IN study with the NCC 0.20g in 1ml water-13_12_2015-14_54_22.avi	-30.18	31.94
E:\Box Sync\LabBox\Naama Reicher\WISDOM Measurements_Naama\20151220\IN study with the NCC 0.20g in 1ml water repeat-20_12_2015-11_38_50.avi	-30.17	38.13
E:\Box Sync\LabBox\Naama Reicher\WISDOM Measurements_Naama\20151220\IN study with the NCC 0.20g in 1ml water repeat-20_12_2015-10_41_51.avi	-30.12	38.39
E:\Box Sync\LabBox\Naama Reicher\WISDOM Measurements_Naama\20151213\IN study with the NCC 0.20g in 1ml water-13_12_2015-17_16_09.avi	-30.12	35.41
E:\Box Sync\LabBox\Naama Reicher\WISDOM Measurements_Naama\20151213\IN study with the NCC 0.20g in 1ml water-13_12_2015-14_54_22.avi	-30.10	31.56
E:\Box Sync\LabBox\Naama Reicher\WISDOM Measurements_Naama\20151220\IN study with the NCC 0.20g in 1ml water repeat-20_12_2015-11_38_50.avi	-30.02	38.13
E:\Box Sync\LabBox\Naama Reicher\WISDOM Measurements_Naama\20151213\IN study with the NCC 0.20g in 1ml water-13_12_2015-14_54_22.avi	-29.98	30.62
E:\Box Sync\LabBox\Naama Reicher\WISDOM Measurements_Naama\20151213\IN study with the NCC 0.20g in 1ml water-13_12_2015-14_54_22.avi	-29.95	31.05
E:\Box Sync\LabBox\Naama Reicher\WISDOM Measurements_Naama\20151213\IN study with the NCC 0.20g in 1ml water-13_12_2015-14_54_22.avi	-29.92	30.96
E:\Box Sync\LabBox\Naama Reicher\WISDOM Measurements_Naama\20151213\IN study with the NCC 0.20g in 1ml water-13_12_2015-14_54_22.avi	-29.90	32.94
E:\Box Sync\LabBox\Naama Reicher\WISDOM Measurements_Naama\20151213\IN study with the NCC 0.20g in 1ml water-13_12_2015-14_54_22.avi	-29.90	33.00
E:\Box Sync\LabBox\Naama Reicher\WISDOM Measurements_Naama\20151213\IN study with the NCC 0.20g in 1ml water-13_12_2015-17_16_09.avi	-29.87	29.96
E:\Box Sync\LabBox\Naama Reicher\WISDOM Measurements_Naama\20151213\IN study with the NCC 0.20g in 1ml water-13_12_2015-17_16_09.avi	-29.85	32.69
E:\Box Sync\LabBox\Naama Reicher\WISDOM Measurements_Naama\20151220\IN study with the NCC 0.20g in 1ml water repeat-20_12_2015-10_41_51.avi	-29.83	38.33
E:\Box Sync\LabBox\Naama Reicher\WISDOM Measurements_Naama\20151220\IN study with the NCC 0.20g in 1ml water repeat-20_12_2015-11_38_50.avi	-29.75	31.05
E:\Box Sync\LabBox\Naama Reicher\WISDOM Measurements_Naama\20151213\IN study with the NCC 0.20g in 1ml water-13_12_2015-14_54_22.avi	-29.73	31.11
E:\Box Sync\LabBox\Naama Reicher\WISDOM Measurements_Naama\20151213\IN study with the NCC 0.20g in 1ml water-13_12_2015-14_54_22.avi	-29.70	33.16
E:\Box Sync\LabBox\Naama Reicher\WISDOM Measurements_Naama\20151220\IN study with the NCC 0.20g in 1ml water repeat-20_12_2015-11_38_50.avi	-29.70	35.41
E:\Box Sync\LabBox\Naama Reicher\WISDOM Measurements_Naama\20151220\IN study with the NCC 0.20g in 1ml water repeat-20_12_2015-10_41_51.avi	-29.67	32.75
E:\Box Sync\LabBox\Naama Reicher\WISDOM Measurements_Naama\20151220\IN study with the NCC 0.20g in 1ml water repeat-20_12_2015-10_41_51.avi	-29.66	32.69
E:\Box Sync\LabBox\Naama Reicher\WISDOM Measurements_Naama\20151213\IN study with the NCC 0.20g in 1ml water-13_12_2015-17_16_09.avi	-29.60	24.51
E:\Box Sync\LabBox\Naama Reicher\WISDOM Measurements_Naama\20151220\IN study with the NCC 0.20g in 1ml water repeat-20_12_2015-11_38_50.avi	-29.58	42.35
E:\Box Sync\LabBox\Naama Reicher\WISDOM Measurements_Naama\20151213\IN study with the NCC 0.20g in 1ml water-13_12_2015-14_54_22.avi	-29.55	31.73
