Drop Information	Freeze Temperature	Diameter (microns)
E:\Box Sync\LabBox\Naama Reicher\WISDOM Measurements_Naama\20151222\IN study with the NCC 0.05g in 1ml water -22_12_2015-10_39_57.avi	-28.27	40.03
E:\Box Sync\LabBox\Naama Reicher\WISDOM Measurements_Naama\20151222\IN study with the NCC 0.05g in 1ml water -22_12_2015-10_39_57.avi	-28.24	43.14
E:\Box Sync\LabBox\Naama Reicher\WISDOM Measurements_Naama\20151222\IN study with the NCC 0.05g in 1ml water -22_12_2015-11_26_05.avi	-28.20	43.58
E:\Box Sync\LabBox\Naama Reicher\WISDOM Measurements_Naama\20151222\IN study with the NCC 0.05g in 1ml water -22_12_2015-10_39_57.avi	-28.18	40.63
E:\Box Sync\LabBox\Naama Reicher\WISDOM Measurements_Naama\20151222\IN study with the NCC 0.05g in 1ml water -22_12_2015-12_19_17.avi	-28.16	36.62
E:\Box Sync\LabBox\Naama Reicher\WISDOM Measurements_Naama\20151222\IN study with the NCC 0.05g in 1ml water -22_12_2015-10_39_57.avi	-28.08	36.65
E:\Box Sync\LabBox\Naama Reicher\WISDOM Measurements_Naama\20151222\IN study with the NCC 0.05g in 1ml water -22_12_2015-10_39_57.avi	-28.08	42.95
E:\Box Sync\LabBox\Naama Reicher\WISDOM Measurements_Naama\20151222\IN study with the NCC 0.05g in 1ml water -22_12_2015-12_19_17.avi	-28.03	43.91
E:\Box Sync\LabBox\Naama Reicher\WISDOM Measurements_Naama\20151222\IN study with the NCC 0.05g in 1ml water -22_12_2015-13_17_37.avi	-28.02	32.10
E:\Box Sync\LabBox\Naama Reicher\WISDOM Measurements_Naama\20151222\IN study with the NCC 0.05g in 1ml water -22_12_2015-10_39_57.avi	-28.00	38.48
E:\Box Sync\LabBox\Naama Reicher\WISDOM Measurements_Naama\20151222\IN study with the NCC 0.05g in 1ml water -22_12_2015-10_39_57.avi	-27.96	37.17
E:\Box Sync\LabBox\Naama Reicher\WISDOM Measurements_Naama\20151222\IN study with the NCC 0.05g in 1ml water -22_12_2015-10_39_57.avi	-27.90	41.36
E:\Box Sync\LabBox\Naama Reicher\WISDOM Measurements_Naama\20151222\IN study with the NCC 0.05g in 1ml water -22_12_2015-13_17_37.avi	-27.85	33.17
E:\Box Sync\LabBox\Naama Reicher\WISDOM Measurements_Naama\20151222\IN study with the NCC 0.05g in 1ml water -22_12_2015-12_19_17.avi	-27.84	36.81
E:\Box Sync\LabBox\Naama Reicher\WISDOM Measurements_Naama\20151222\IN study with the NCC 0.05g in 1ml water -22_12_2015-10_39_57.avi	-27.80	44.60
E:\Box Sync\LabBox\Naama Reicher\WISDOM Measurements_Naama\20151222\IN study with the NCC 0.05g in 1ml water -22_12_2015-13_17_37.avi	-27.78	40.86
E:\Box Sync\LabBox\Naama Reicher\WISDOM Measurements_Naama\20151222\IN study with the NCC 0.05g in 1ml water -22_12_2015-13_17_37.avi	-27.76	33.12
E:\Box Sync\LabBox\Naama Reicher\WISDOM Measurements_Naama\20151222\IN study with the NCC 0.05g in 1ml water -22_12_2015-10_39_57.avi	-27.75	37.83
E:\Box Sync\LabBox\Naama Reicher\WISDOM Measurements_Naama\20151222\IN study with the NCC 0.05g in 1ml water -22_12_2015-12_19_17.avi	-27.75	37.13
E:\Box Sync\LabBox\Naama Reicher\WISDOM Measurements_Naama\20151222\IN study with the NCC 0.05g in 1ml water -22_12_2015-13_17_37.avi	-27.72	36.75
E:\Box Sync\LabBox\Naama Reicher\WISDOM Measurements_Naama\20151222\IN study with the NCC 0.05g in 1ml water -22_12_2015-12_19_17.avi	-27.70	41.09
E:\Box Sync\LabBox\Naama Reicher\WISDOM Measurements_Naama\20151222\IN study with the NCC 0.05g in 1ml water -22_12_2015-12_19_17.avi	-27.60	38.28
E:\Box Sync\LabBox\Naama Reicher\WISDOM Measurements_Naama\20151222\IN study with the NCC 0.05g in 1ml water -22_12_2015-12_19_17.avi	-27.60	39.77
E:\Box Sync\LabBox\Naama Reicher\WISDOM Measurements_Naama\20151222\IN study with the NCC 0.05g in 1ml water -22_12_2015-12_19_17.avi	-27.60	41.61
E:\Box Sync\LabBox\Naama Reicher\WISDOM Measurements_Naama\20151222\IN study with the NCC 0.05g in 1ml water -22_12_2015-13_17_37.avi	-27.53	36.68
E:\Box Sync\LabBox\Naama Reicher\WISDOM Measurements_Naama\20151222\IN study with the NCC 0.05g in 1ml water -22_12_2015-10_39_57.avi	-27.52	42.47
E:\Box Sync\LabBox\Naama Reicher\WISDOM Measurements_Naama\20151222\IN study with the NCC 0.05g in 1ml water -22_12_2015-10_39_57.avi	-27.50	40.32
E:\Box Sync\LabBox\Naama Reicher\WISDOM Measurements_Naama\20151222\IN study with the NCC 0.05g in 1ml water -22_12_2015-13_17_37.avi	-27.48	37.92
E:\Box Sync\LabBox\Naama Reicher\WISDOM Measurements_Naama\20151222\IN study with the NCC 0.05g in 1ml water -22_12_2015-12_19_17.avi	-27.46	40.05
E:\Box Sync\LabBox\Naama Reicher\WISDOM Measurements_Naama\20151222\IN study with the NCC 0.05g in 1ml water -22_12_2015-13_17_37.avi	-27.46	38.98
E:\Box Sync\LabBox\Naama Reicher\WISDOM Measurements_Naama\20151222\IN study with the NCC 0.05g in 1ml water -22_12_2015-12_19_17.avi	-27.40	41.32
E:\Box Sync\LabBox\Naama Reicher\WISDOM Measurements_Naama\20151222\IN study with the NCC 0.05g in 1ml water -22_12_2015-12_19_17.avi	-27.38	40.03
E:\Box Sync\LabBox\Naama Reicher\WISDOM Measurements_Naama\20151222\IN study with the NCC 0.05g in 1ml water -22_12_2015-13_17_37.avi	-27.33	34.95
